Distances from center of each square to grid center (50.0, 30.0):
Distance at (6, 13): 47.8174
Distance at (6, 14): 47.4605
Distance at (6, 15): 47.1222
Distance at (6, 16): 46.8028
Distance at (6, 17): 46.5027
Distance at (6, 18): 46.2223
Distance at (6, 19): 45.9619
Distance at (6, 20): 45.7220
Distance at (6, 21): 45.5027
Distance at (6, 22): 45.3045
Distance at (6, 23): 45.1276
Distance at (6, 24): 44.9722
Distance at (6, 25): 44.8386
Distance at (6, 26): 44.7269
Distance at (6, 27): 44.6374
Distance at (6, 28): 44.5702
Distance at (6, 29): 44.5253
Distance at (6, 30): 44.5028
Distance at (6, 31): 44.5028
Distance at (6, 32): 44.5253
Distance at (6, 33): 44.5702
Distance at (6, 34): 44.6374
Distance at (6, 35): 44.7269
Distance at (6, 36): 44.8386
Distance at (6, 37): 44.9722
Distance at (6, 38): 45.1276
Distance at (6, 39): 45.3045
Distance at (6, 40): 45.5027
Distance at (6, 41): 45.7220
Distance at (6, 42): 45.9619
Distance at (6, 43): 46.2223
Distance at (6, 44): 46.5027
Distance at (6, 45): 46.8028
Distance at (6, 46): 47.1222
Distance at (6, 47): 47.4605
Distance at (6, 48): 47.8174
Distance at (6, 49): 48.1923
Distance at (6, 50): 48.5850
Distance at (6, 51): 48.9949
Distance at (6, 52): 49.4217
Distance at (6, 53): 49.8648
Distance at (6, 54): 50.3240
Distance at (6, 55): 50.7986
Distance at (6, 56): 51.2884
Distance at (6, 57): 51.7929
Distance at (6, 58): 52.3116
Distance at (6, 59): 52.8441
Distance at (6, 60): 53.3901
Distance at (7, 1): 52.5595
Distance at (7, 2): 52.0048
Distance at (7, 3): 51.4636
Distance at (7, 4): 50.9362
Distance at (7, 5): 50.4232
Distance at (7, 6): 49.9249
Distance at (7, 7): 49.4419
Distance at (7, 8): 48.9745
Distance at (7, 9): 48.5232
Distance at (7, 10): 48.0885
Distance at (7, 11): 47.6707
Distance at (7, 12): 47.2705
Distance at (7, 13): 46.8882
Distance at (7, 14): 46.5242
Distance at (7, 15): 46.1790
Distance at (7, 16): 45.8530
Distance at (7, 17): 45.5467
Distance at (7, 18): 45.2604
Distance at (7, 19): 44.9944
Distance at (7, 20): 44.7493
Distance at (7, 21): 44.5253
Distance at (7, 22): 44.3227
Distance at (7, 23): 44.1418
Distance at (7, 24): 43.9830
Distance at (7, 25): 43.8463
Distance at (7, 26): 43.7321
Distance at (7, 27): 43.6406
Distance at (7, 28): 43.5718
Distance at (7, 29): 43.5259
Distance at (7, 30): 43.5029
Distance at (7, 31): 43.5029
Distance at (7, 32): 43.5259
Distance at (7, 33): 43.5718
Distance at (7, 34): 43.6406
Distance at (7, 35): 43.7321
Distance at (7, 36): 43.8463
Distance at (7, 37): 43.9830
Distance at (7, 38): 44.1418
Distance at (7, 39): 44.3227
Distance at (7, 40): 44.5253
Distance at (7, 41): 44.7493
Distance at (7, 42): 44.9944
Distance at (7, 43): 45.2604
Distance at (7, 44): 45.5467
Distance at (7, 45): 45.8530
Distance at (7, 46): 46.1790
Distance at (7, 47): 46.5242
Distance at (7, 48): 46.8882
Distance at (7, 49): 47.2705
Distance at (7, 50): 47.6707
Distance at (7, 51): 48.0885
Distance at (7, 52): 48.5232
Distance at (7, 53): 48.9745
Distance at (7, 54): 49.4419
Distance at (7, 55): 49.9249
Distance at (7, 56): 50.4232
Distance at (7, 57): 50.9362
Distance at (7, 58): 51.4636
Distance at (7, 59): 52.0048
Distance at (7, 60): 52.5595
Distance at (8, 1): 51.7349
Distance at (8, 2): 51.1713
Distance at (8, 3): 50.6211
Distance at (8, 4): 50.0849
Distance at (8, 5): 49.5631
Distance at (8, 6): 49.0561
Distance at (8, 7): 48.5644
Distance at (8, 8): 48.0885
Distance at (8, 9): 47.6288
Distance at (8, 10): 47.1858
Distance at (8, 11): 46.7600
Distance at (8, 12): 46.3519
Distance at (8, 13): 45.9619
Distance at (8, 14): 45.5906
Distance at (8, 15): 45.2383
Distance at (8, 16): 44.9055
Distance at (8, 17): 44.5926
Distance at (8, 18): 44.3001
Distance at (8, 19): 44.0284
Distance at (8, 20): 43.7778
Distance at (8, 21): 43.5488
Distance at (8, 22): 43.3417
Distance at (8, 23): 43.1567
Distance at (8, 24): 42.9942
Distance at (8, 25): 42.8544
Distance at (8, 26): 42.7376
Distance at (8, 27): 42.6439
Distance at (8, 28): 42.5735
Distance at (8, 29): 42.5265
Distance at (8, 30): 42.5029
Distance at (8, 31): 42.5029
Distance at (8, 32): 42.5265
Distance at (8, 33): 42.5735
Distance at (8, 34): 42.6439
Distance at (8, 35): 42.7376
Distance at (8, 36): 42.8544
Distance at (8, 37): 42.9942
Distance at (8, 38): 43.1567
Distance at (8, 39): 43.3417
Distance at (8, 40): 43.5488
Distance at (8, 41): 43.7778
Distance at (8, 42): 44.0284
Distance at (8, 43): 44.3001
Distance at (8, 44): 44.5926
Distance at (8, 45): 44.9055
